Real-time data - subject to revision
Copyright Environment Canada(2023)

"Real-Time Hydrometric Data for STUART RIVER NEAR FORT ST. JAMES (08JE001) [BC]"

08JE001,"STUART RIVER NEAR FORT ST. JAMES"
Description of parameters:
5,"Water temperature (No Quality Assurance)",°C

Date (PST),Parameter ,Value(°C)
2022-09-13 15:00:00,5,16.89
2022-09-13 16:00:00,5,17
2022-09-13 17:00:00,5,16.99
2022-09-13 18:00:00,5,16.92
2022-09-13 19:00:00,5,16.82
2022-09-13 20:00:00,5,16.67
2022-09-13 21:00:00,5,16.48
2022-09-13 22:00:00,5,16.31
2022-09-13 23:00:00,5,16.18
2022-09-14 00:00:00,5,16.08
2022-09-14 01:00:00,5,15.96
2022-09-14 02:00:00,5,15.82
2022-09-14 03:00:00,5,15.68
2022-09-14 04:00:00,5,15.53
2022-09-14 05:00:00,5,15.37
2022-09-14 06:00:00,5,15.25
2022-09-14 07:00:00,5,15.1
2022-09-14 08:00:00,5,14.96
2022-09-14 09:00:00,5,14.93
2022-09-14 10:00:00,5,15.13
2022-09-14 11:00:00,5,15.52
2022-09-14 12:00:00,5,15.91
2022-09-14 13:00:00,5,16.32
2022-09-14 14:00:00,5,16.73
2022-09-14 15:00:00,5,17.1
2022-09-14 16:00:00,5,17.41
2022-09-14 17:00:00,5,17.68
2022-09-14 18:00:00,5,17.82
2022-09-14 19:00:00,5,17.74
2022-09-14 20:00:00,5,17.41
2022-09-14 21:00:00,5,16.9
2022-09-14 22:00:00,5,16.51
2022-09-14 23:00:00,5,16.25
2022-09-15 00:00:00,5,16.04
2022-09-15 01:00:00,5,15.84
2022-09-15 02:00:00,5,15.67
2022-09-15 03:00:00,5,15.52
2022-09-15 04:00:00,5,15.39
2022-09-15 05:00:00,5,15.25
2022-09-15 06:00:00,5,15.22
2022-09-15 07:00:00,5,15.14
2022-09-15 08:00:00,5,15.04
2022-09-15 09:00:00,5,15.01
2022-09-15 10:00:00,5,15.2
2022-09-15 11:00:00,5,15.61
2022-09-15 12:00:00,5,15.93
2022-09-15 13:00:00,5,16.27
2022-09-15 14:00:00,5,16.65
2022-09-15 15:00:00,5,16.94
2022-09-15 16:00:00,5,17.14
2022-09-15 17:00:00,5,17.13
2022-09-15 18:00:00,5,16.95
2022-09-15 19:00:00,5,16.76
2022-09-15 20:00:00,5,16.58
2022-09-15 21:00:00,5,16.43
2022-09-15 22:00:00,5,16.32
2022-09-15 23:00:00,5,16.22
2022-09-16 00:00:00,5,16.15
2022-09-16 01:00:00,5,16.07
2022-09-16 02:00:00,5,15.94
2022-09-16 03:00:00,5,15.84
2022-09-16 04:00:00,5,15.76
2022-09-16 05:00:00,5,15.66
2022-09-16 06:00:00,5,15.59
2022-09-16 07:00:00,5,15.51
2022-09-16 08:00:00,5,15.48
2022-09-16 09:00:00,5,15.45
2022-09-16 10:00:00,5,15.5
2022-09-16 11:00:00,5,15.56
2022-09-16 12:00:00,5,15.8
2022-09-16 13:00:00,5,16.01
2022-09-16 14:00:00,5,16.19
2022-09-16 15:00:00,5,16.24
2022-09-16 16:00:00,5,16.25
2022-09-16 17:00:00,5,16.25
2022-09-16 18:00:00,5,16.16
2022-09-16 19:00:00,5,15.94
2022-09-16 20:00:00,5,15.73
2022-09-16 21:00:00,5,15.54
2022-09-16 22:00:00,5,15.39
2022-09-16 23:00:00,5,15.25
2022-09-17 00:00:00,5,15.12
2022-09-17 01:00:00,5,15
2022-09-17 02:00:00,5,14.83
2022-09-17 03:00:00,5,14.67
2022-09-17 04:00:00,5,14.49
2022-09-17 05:00:00,5,14.31
2022-09-17 06:00:00,5,14.2
2022-09-17 07:00:00,5,14.09
2022-09-17 08:00:00,5,14.01
2022-09-17 09:00:00,5,13.97
2022-09-17 10:00:00,5,14.23
2022-09-17 11:00:00,5,14.56
2022-09-17 12:00:00,5,14.64
2022-09-17 13:00:00,5,14.98
2022-09-17 14:00:00,5,15.05
2022-09-17 15:00:00,5,14.89
2022-09-17 16:00:00,5,14.53
2022-09-17 17:00:00,5,14.27
2022-09-17 18:00:00,5,14.36
2022-09-17 19:00:00,5,14.42
2022-09-17 20:00:00,5,14.66
2022-09-17 21:00:00,5,14.76
2022-09-17 22:00:00,5,14.7
2022-09-17 23:00:00,5,14.7
2022-09-18 00:00:00,5,14.68
2022-09-18 01:00:00,5,14.6
2022-09-18 02:00:00,5,14.62
2022-09-18 03:00:00,5,14.52
2022-09-18 04:00:00,5,14.33
2022-09-18 05:00:00,5,14.28
2022-09-18 06:00:00,5,14.09
2022-09-18 07:00:00,5,14.06
2022-09-18 08:00:00,5,13.94
2022-09-18 09:00:00,5,13.92
2022-09-18 10:00:00,5,14.21
2022-09-18 11:00:00,5,14.41
2022-09-18 12:00:00,5,14.86
2022-09-18 13:00:00,5,15.26
2022-09-18 14:00:00,5,15.65
2022-09-18 15:00:00,5,15.99
2022-09-18 16:00:00,5,16.08
2022-09-18 17:00:00,5,15.95
2022-09-18 18:00:00,5,15.78
2022-09-18 19:00:00,5,15.6
2022-09-18 20:00:00,5,15.38
2022-09-18 21:00:00,5,15.32
2022-09-18 22:00:00,5,15.25
2022-09-18 23:00:00,5,15.23
2022-09-19 00:00:00,5,15.16
2022-09-19 01:00:00,5,15.04
2022-09-19 02:00:00,5,14.89
2022-09-19 03:00:00,5,14.77
2022-09-19 04:00:00,5,14.67
2022-09-19 05:00:00,5,14.58
2022-09-19 06:00:00,5,14.48
2022-09-19 07:00:00,5,14.37
2022-09-19 08:00:00,5,14.24
2022-09-19 09:00:00,5,14.23
2022-09-19 10:00:00,5,14.45
2022-09-19 11:00:00,5,14.76
2022-09-19 12:00:00,5,15.06
2022-09-19 13:00:00,5,15.4
2022-09-19 14:00:00,5,15.61
2022-09-19 15:00:00,5,15.73
2022-09-19 16:00:00,5,15.87
2022-09-19 17:00:00,5,15.82
2022-09-19 18:00:00,5,15.63
2022-09-19 19:00:00,5,15.44
2022-09-19 20:00:00,5,15.24
2022-09-19 21:00:00,5,15.08
2022-09-19 22:00:00,5,14.94
2022-09-19 23:00:00,5,14.82
2022-09-20 00:00:00,5,14.66
2022-09-20 01:00:00,5,14.52
2022-09-20 02:00:00,5,14.35
2022-09-20 03:00:00,5,14.2
2022-09-20 04:00:00,5,14.04
2022-09-20 05:00:00,5,13.92
2022-09-20 06:00:00,5,13.78
2022-09-20 07:00:00,5,13.65
2022-09-20 08:00:00,5,13.56
2022-09-20 09:00:00,5,13.47
2022-09-20 10:00:00,5,13.6
2022-09-20 11:00:00,5,13.98
2022-09-20 12:00:00,5,14.47
2022-09-20 13:00:00,5,14.97
2022-09-20 14:00:00,5,15.31
2022-09-20 15:00:00,5,15.62
2022-09-20 16:00:00,5,15.76
2022-09-20 17:00:00,5,15.74
2022-09-20 18:00:00,5,15.61
2022-09-20 19:00:00,5,15.35
2022-09-20 20:00:00,5,15.15
2022-09-20 21:00:00,5,14.97
2022-09-20 22:00:00,5,14.79
2022-09-20 23:00:00,5,14.64
2022-09-21 00:00:00,5,14.47
2022-09-21 01:00:00,5,14.32
2022-09-21 02:00:00,5,14.23
2022-09-21 03:00:00,5,14.09
2022-09-21 04:00:00,5,14
2022-09-21 05:00:00,5,13.87
2022-09-21 06:00:00,5,13.76
2022-09-21 07:00:00,5,13.64
2022-09-21 08:00:00,5,13.53
2022-09-21 09:00:00,5,13.47
2022-09-21 10:00:00,5,13.71
2022-09-21 11:00:00,5,13.97
2022-09-21 12:00:00,5,14.51
2022-09-21 13:00:00,5,14.92
2022-09-21 14:00:00,5,15.25
2022-09-21 15:00:00,5,15.58
2022-09-21 16:00:00,5,15.64
2022-09-21 17:00:00,5,15.75
2022-09-21 18:00:00,5,15.7
2022-09-21 19:00:00,5,15.55
2022-09-21 20:00:00,5,15.32
2022-09-21 21:00:00,5,15.16
2022-09-21 22:00:00,5,15.02
2022-09-21 23:00:00,5,14.88
2022-09-22 00:00:00,5,14.75
2022-09-22 01:00:00,5,14.58
2022-09-22 02:00:00,5,14.4
